window,discipline,topic,topic_keywords,N,N_rel
1992-1996,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",20,0.625
1992-1996,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",7,0.21875
1992-1996,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",2,0.0625
1992-1996,Economics,3,"sports, football, league, leagues, transfer, soccer, revenue, duopsony, talent, game",1,0.03125
1992-1996,Economics,4,"moral, norms, morality, trust, guilt, social, economic, theory, markets, ethics",2,0.0625
1992-1996,Engineering and Technology,2,"games, stochastic, game, agents, nash, equilibrium, players, control, time, dynamics",5,0.8333333333333334
1992-1996,Engineering and Technology,5,"supply, chain, manufacturer, product, supplier, retailer, advertising, retailers, model, products",1,0.16666666666666666
1992-1996,Geoscience,0,"evolutionary, government, carbon, game, green, enterprises, model, innovation, energy, development",1,0.3333333333333333
1992-1996,Geoscience,2,"water, cooperative, river, basin, resources, ecological, game, compensation, allocation, decision",2,0.6666666666666666
1992-1996,Humanities,1,"social, capital, individuals, putnam, theory, game, action, al, et, trust",1,1
1992-1996,Management and OR,0,"supply, chain, model, retailer, channel, price, manufacturer, game, product, market",5,0.45454545454545453
1992-1996,Management and OR,1,"game, games, equilibrium, mml, players, model, stochastic, nash, problem, equilibria",2,0.18181818181818182
1992-1996,Management and OR,2,"innovation, strategic, game, firms, theory, firm, research, technology, model, alliances",2,0.18181818181818182
1992-1996,Management and OR,3,"projects, game, project, government, evolutionary, public, construction, ppp, design, supervision",1,0.09090909090909091
1992-1996,Management and OR,5,"traffic, bus, congestion, lane, game, passengers, vehicles, route, transportation, driver",1,0.09090909090909091
1992-1996,Mathematics,0,"games, game, strategies, equilibrium, player, players, mml, theory, strategy, nash",11,0.9166666666666666
1992-1996,Mathematics,7,"fuzzy, design, method, optimization, game, multiobjective, based, variables, atanassov, function",1,0.08333333333333333
1992-1996,Other Professional Fields,2,"game, play, video, group, groups, theory, students, research, experiment, games",2,0.5
1992-1996,Other Professional Fields,4,"outsourcing, information, security, theory, strategic, relational, motivations, decision, core, case",2,0.5
1992-1996,Other Social Sciences,2,"gt, lt, li, game, social, learning, theory, behavior, evolutionary, evolution",4,0.4444444444444444
1992-1996,Other Social Sciences,3,"theory, game, analysis, political, institutions, european, coopetition, economic, institutional, equilibrium",3,0.3333333333333333
1992-1996,Other Social Sciences,5,"location, pricing, firms, market, delivered, production, firm, areas, shown, paper",2,0.2222222222222222
1992-1996,Political Science,0,"game, political, policy, theory, theoretic, model, party, voting, legislative, preferences",7,0.6363636363636364
1992-1996,Political Science,1,"game, cooperation, international, theory, model, strategic, strategies, protection, states, social",4,0.36363636363636365
1992-1996,Psychology,1,"game, theory, social, cooperation, behavior, decision, strategies, model, individuals, information",6,1
1992-1996,Sociology,0,"game, theory, power, games, violence, micro, exchange, social, network, conflict",8,0.8888888888888888
1992-1996,Sociology,2,"commitment, game, strategy, social, actors, model, average, information, performance, interactions",1,0.1111111111111111
1993-1997,Biology,0,"game, evolutionary, theory, cooperation, population, model, strategies, selection, strategy, evolution",9,1
1993-1997,Computer Science,2,"games, fuzzy, game, cooperative, theory, player, players, based, strategies, set",2,1
1993-1997,Economics,0,"games, game, equilibrium, players, repeated, equilibria, theory, model, player, payoffs",19,0.6333333333333333
1993-1997,Economics,1,"firms, firm, market, product, equilibrium, model, competition, game, price, competitive",5,0.16666666666666666
1993-1997,Economics,2,"countries, international, trade, game, climate, environmental, power, market, global, model",2,0.06666666666666667
