window,field_1,topic,topic_keywords,N,N_rel
1991-1995,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",2,0.06060606060606061
1991-1995,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",3,0.09090909090909091
1991-1995,"Economics, Econometrics and Finance",6,"football, sports, team, game, leagues, players, league, clubs, play, soccer",2,0.06060606060606061
1991-1995,Engineering,3,"game, control, differential, time, games, guidance, pursuit, target, optimal, nash",3,0.75
1991-1995,Engineering,5,"government, construction, water, green, evolutionary, development, game, carbon, building, enterprises",1,0.25
1991-1995,Environmental Science,3,"prey, size, retrieval, spatial, males, patch, beds, seabirds, pairing, females",2,1
1991-1995,Medicine,0,"prey, habitat, predator, food, model, predators, dormitive, foraging, active, game",2,1
1991-1995,Social Sciences,0,"game, cooperation, games, evolutionary, strategies, theory, social, strategy, dynamics, evolution",15,0.6521739130434783
1991-1995,Social Sciences,1,"game, knowledge, evolutionary, government, model, sharing, traffic, strategy, based, quality",3,0.13043478260869565
1991-1995,Social Sciences,2,"war, conflict, power, international, bargaining, terrorism, terrorist, model, political, states",3,0.13043478260869565
1991-1995,Social Sciences,3,"party, policy, political, parties, electoral, voters, model, theoretic, legislative, candidates",1,0.043478260869565216
1991-1995,Social Sciences,8,"buyer, binding, seller, contracts, lock, treatment, supplier, price, good, behavioral",1,0.043478260869565216
1992-1996,Agricultural and Biological Sciences,0,"game, model, males, competition, strategies, theory, male, models, lewontin, evolution",6,1
1992-1996,Arts and Humanities,0,"game, cultural, theory, resource, data, research, peirce, np, big, subjective",1,1
1992-1996,"Business, Management and Accounting",0,"supply, manufacturer, channel, retailer, model, chain, game, product, price, advertising",1,0.25
1992-1996,"Business, Management and Accounting",3,"innovation, knowledge, game, firms, alliances, alliance, strategic, cooperation, model, research",3,0.75
1992-1996,Computer Science,1,"games, game, learning, agent, mml, agents, equilibrium, theory, players, player",4,0.6666666666666666
1992-1996,Computer Science,4,"optimization, particle, swarm, method, objective, design, search, path, game, proposed",2,0.3333333333333333
1992-1996,Decision Sciences,0,"games, game, equilibrium, players, equilibria, player, nash, stochastic, information, repeated",17,0.6071428571428571
1992-1996,Decision Sciences,1,"network, game, networks, users, spectrum, allocation, equilibrium, resource, service, nash",1,0.03571428571428571
1992-1996,Decision Sciences,2,"price, auctions, market, auction, advertising, model, product, pricing, prices, seller",5,0.17857142857142858
1992-1996,Decision Sciences,3,"game, theory, theoretic, models, cooperative, economic, games, strategy, business, strategic",5,0.17857142857142858
1992-1996,"Economics, Econometrics and Finance",0,"market, game, firms, theory, equilibrium, model, price, markets, firm, information",18,0.5625
1992-1996,"Economics, Econometrics and Finance",1,"stochastic, games, equilibrium, time, mml, game, equilibria, mean, nash, optimal",6,0.1875
1992-1996,"Economics, Econometrics and Finance",4,"sanctions, trade, policy, political, international, economic, countries, model, target, game",3,0.09375
1992-1996,"Economics, Econometrics and Finance",5,"coalition, coalitions, power, court, voting, legislative, chambers, political, model, informational",4,0.125
1992-1996,"Economics, Econometrics and Finance",6,"football, sports, team, game, leagues, players, league, clubs, play, soccer",1,0.03125
1992-1996,Engineering,3,"game, control, differential, time, games, guidance, pursuit, target, optimal, nash",4,0.8
1992-1996,Engineering,5,"government, construction, water, green, evolutionary, development, game, carbon, building, enterprises",1,0.2
1992-1996,Environmental Science,3,"prey, size, retrieval, spatial, males, patch, beds, seabirds, pairing, females",1,1
